date,close,adjusted_close
2011-01-03,127.05000305175781,96.67910766601562
2011-01-04,126.9800033569336,96.62580108642578
2011-01-05,127.63999938964844,97.1280517578125
2011-01-06,127.38999938964844,96.93782043457031
2011-01-07,127.13999938964844,96.74756622314453
2011-01-10,126.9800033569336,96.62580108642578
2011-01-11,127.43000030517578,96.96826934814453
2011-01-12,128.5800018310547,97.8434066772461
2011-01-13,128.3699951171875,97.68358612060547
2011-01-14,129.3000030517578,98.39125061035156
2011-01-18,129.52000427246094,98.55865478515625
2011-01-19,128.25,97.5922622680664
2011-01-20,128.0800018310547,97.46287536621094
2011-01-21,128.3699951171875,97.68358612060547
2011-01-24,129.10000610351562,98.23907470703125
2011-01-25,129.1699981689453,98.29232025146484
2011-01-26,129.6699981689453,98.67277526855469
2011-01-27,129.99000549316406,98.9162826538086
2011-01-28,127.72000122070312,97.18893432617188
2011-01-31,128.67999267578125,97.91943359375
2011-02-01,130.74000549316406,99.48703002929688
2011-02-02,130.49000549316406,99.2967758178711
2011-02-03,130.77999877929688,99.51746368408203
2011-02-04,131.14999389648438,99.79899597167969
2011-02-07,131.97000122070312,100.42298889160156
2011-02-08,132.57000732421875,100.87955474853516
2011-02-09,132.27000427246094,100.65127563476562
2011-02-10,132.32000732421875,100.68934631347656
2011-02-11,133.11000061035156,101.29048156738281
2011-02-14,133.42999267578125,101.53397369384766
2011-02-15,133.00999450683594,101.21440124511719
2011-02-16,133.85000610351562,101.85358428955078
2011-02-17,134.25,102.15796661376953
2011-02-18,134.52999877929688,102.3710708618164
2011-02-22,131.8300018310547,100.31647491455078
2011-02-23,131.02000427246094,99.70006561279297
2011-02-24,130.92999267578125,99.631591796875
2011-02-25,132.3300018310547,100.69693756103516
2011-02-28,133.14999389648438,101.3209228515625
2011-03-01,130.92999267578125,99.631591796875
2011-03-02,131.2100067138672,99.84468841552734
2011-03-03,133.47000122070312,101.56441497802734
2011-03-04,132.47000122070312,100.803466796875
2011-03-07,131.42999267578125,100.01207733154297
2011-03-08,132.5800018310547,100.88714599609375
2011-03-09,132.38999938964844,100.7425765991211
2011-03-10,129.94000244140625,98.87825775146484
2011-03-11,130.83999633789062,99.56311798095703
2011-03-14,130.0500030517578,98.96195983886719
2011-03-15,128.55999755859375,97.82816314697266
2011-03-16,126.18000030517578,96.01708221435547
2011-03-17,127.8499984741211,97.28784942626953
2011-03-18,127.76000213623047,97.6417236328125
2011-03-21,129.74000549316406,99.15494537353516
2011-03-22,129.2899932861328,98.81103515625
2011-03-23,129.66000366210938,99.09381103515625
2011-03-24,130.89999389648438,100.04151916503906
2011-03-25,131.3000030517578,100.3471908569336
2011-03-28,130.97999572753906,100.10263061523438
2011-03-29,131.86000061035156,100.77518463134766
2011-03-30,132.77000427246094,101.47067260742188
2011-03-31,132.58999633789062,101.33309936523438
2011-04-01,133.14999389648438,101.76105499267578
2011-04-04,133.25999450683594,101.8451156616211
2011-04-05,133.24000549316406,101.82989501953125
2011-04-06,133.66000366210938,102.1508560180664
2011-04-07,133.32000732421875,101.89097595214844
2011-04-08,132.86000061035156,101.53945922851562
