date,close,adjusted_close
2011-01-03,108.86000061035156,61.945884704589844
2011-01-04,109.0,62.025577545166016
2011-01-05,108.19999694824219,61.5703125
2011-01-06,108.36000061035156,61.66136932373047
2011-01-07,108.91000366210938,61.97438049316406
2011-01-10,109.0999984741211,62.082489013671875
2011-01-11,109.05000305175781,62.05402374267578
2011-01-12,108.9800033569336,62.01420593261719
2011-01-13,109.44999694824219,62.281646728515625
2011-01-14,108.93000030517578,61.985721588134766
2011-01-18,108.87000274658203,61.95161437988281
2011-01-19,108.79000091552734,61.90608215332031
2011-01-20,108.31999969482422,61.638633728027344
2011-01-21,108.4800033569336,61.72971725463867
2011-01-24,108.52999877929688,61.758140563964844
2011-01-25,109.06999969482422,62.06541061401367
2011-01-26,108.45999908447266,61.71832275390625
2011-01-27,108.63999938964844,61.820709228515625
2011-01-28,108.77999877929688,61.900394439697266
2011-01-31,108.4800033569336,61.72971725463867
2011-02-01,107.91000366210938,61.647953033447266
2011-02-02,107.69999694824219,61.52798080444336
2011-02-03,107.44000244140625,61.37946319580078
2011-02-04,107.11000061035156,61.190940856933594
2011-02-07,107.2300033569336,61.259525299072266
2011-02-08,106.83999633789062,61.036712646484375
2011-02-09,107.52999877929688,61.43091583251953
2011-02-10,107.0,61.12814712524414
2011-02-11,107.58999633789062,61.46517562866211
2011-02-14,107.66000366210938,61.50514602661133
2011-02-15,107.9000015258789,61.64226150512695
2011-02-16,107.7699966430664,61.567989349365234
2011-02-17,107.97000122070312,61.68225860595703
2011-02-18,108.12999725341797,61.773681640625
2011-02-22,108.43000030517578,61.94501876831055
2011-02-23,108.30000305175781,61.87083435058594
2011-02-24,108.41999816894531,61.939369201660156
2011-02-25,108.93000030517578,62.230716705322266
2011-02-28,109.22000122070312,62.396392822265625
2011-03-01,108.79000091552734,62.39754867553711
2011-03-02,108.20999908447266,62.06485366821289
2011-03-03,107.75,61.80101013183594
2011-03-04,108.16000366210938,62.03616714477539
2011-03-07,107.88999938964844,61.881309509277344
2011-03-08,107.75,61.80101013183594
2011-03-09,108.30999755859375,62.12224578857422
2011-03-10,108.75,62.37459945678711
2011-03-11,108.6500015258789,62.31720733642578
2011-03-14,108.7699966430664,62.38604736328125
2011-03-15,108.76000213623047,62.38032150268555
2011-03-16,109.41000366210938,62.75313186645508
2011-03-17,109.33999633789062,62.71297836303711
2011-03-18,109.41000366210938,62.75313186645508
2011-03-21,109.05999755859375,62.552371978759766
2011-03-22,109.26000213623047,62.6671028137207
2011-03-23,109.19000244140625,62.6269645690918
2011-03-24,108.83000183105469,62.42045974731445
2011-03-25,108.66999816894531,62.32870864868164
2011-03-28,108.70999908447266,62.35161209106445
2011-03-29,108.18000030517578,62.04763412475586
2011-03-30,108.55000305175781,62.2598762512207
2011-03-31,108.19999694824219,62.05910873413086
2011-04-01,108.27999877929688,62.35221481323242
2011-04-04,108.52999877929688,62.49618148803711
2011-04-05,108.58999633789062,62.530738830566406
2011-04-06,108.23999786376953,62.329200744628906
2011-04-07,108.08000183105469,62.237056732177734
2011-04-08,108.0199966430664,62.202449798583984
2011-04-11,108.02999877929688,62.208251953125
2011-04-12,108.41000366210938,62.42709732055664
2011-04-13,108.5999984741211,62.53647232055664
2011-04-14,108.33000183105469,62.38103485107422
2011-04-15,108.9000015258789,62.70926284790039
2011-04-18,109.05000305175781,62.79560470581055
2011-04-19,109.27999877929688,62.92805862426758
2011-04-20,109.33000183105469,62.95684814453125
2011-04-21,109.43000030517578,63.01446533203125
2011-04-25,109.54000091552734,63.07782745361328
2011-04-26,110.05000305175781,63.37146759033203
2011-04-27,109.91000366210938,63.29083251953125
2011-04-28,110.26000213623047,63.492393493652344
2011-04-29,110.47000122070312,63.61335754394531
2011-05-02,110.30000305175781,63.76189422607422
2011-05-03,110.25,63.733001708984375
2011-05-04,110.41000366210938,63.82547378540039
2011-05-05,110.79000091552734,64.04515075683594
2011-05-06,110.79000091552734,64.04515075683594
2011-05-09,110.9000015258789,64.1087417602539
2011-05-10,110.44999694824219,63.84860610961914
2011-05-11,110.62999725341797,63.95268249511719
2011-05-12,110.37000274658203,63.80237579345703
2011-05-13,110.69999694824219,63.993099212646484
2011-05-16,111.0199966430664,64.17810821533203
2011-05-17,111.16999816894531,64.26480865478516
2011-05-18,110.88999938964844,64.1030044555664
2011-05-19,111.08000183105469,64.21275329589844
2011-05-20,111.0,64.16650390625
2011-05-23,110.93000030517578,64.12609100341797
2011-05-24,111.06999969482422,64.20703887939453
2011-05-25,110.8499984741211,64.07978820800781
2011-05-26,111.33000183105469,64.35733032226562
2011-05-27,111.44999694824219,64.4266586303711
2011-05-31,111.44000244140625,64.4208984375
2011-06-01,111.56999969482422,64.7429428100586
2011-06-02,110.55999755859375,64.15686798095703
2011-06-03,110.80000305175781,64.29610443115234
2011-06-06,110.61000061035156,64.18586730957031
2011-06-07,110.98999786376953,64.40640258789062
2011-06-08,111.05999755859375,64.44697570800781
2011-06-09,110.76000213623047,64.27288055419922
2011-06-10,110.62999725341797,64.19751739501953
2011-06-13,110.75,64.26710510253906
2011-06-14,110.41999816894531,64.07559967041016
2011-06-15,111.02999877929688,64.42957305908203
2011-06-16,110.81999969482422,64.30774688720703
2011-06-17,110.86000061035156,64.3309555053711
2011-06-20,110.87999725341797,64.34258270263672
2011-06-21,110.8499984741211,64.32508087158203
2011-06-22,111.0,64.41215515136719
2011-06-23,111.29000091552734,64.58049011230469
2011-06-24,111.3499984741211,64.61532592773438
2011-06-27,110.98999786376953,64.40640258789062
2011-06-28,110.22000122070312,63.9595947265625
2011-06-29,109.97000122070312,63.814483642578125
2011-06-30,110.12999725341797,63.907352447509766
2011-07-01,109.70999908447266,63.91082763671875
2011-07-05,110.0999984741211,64.13800811767578
2011-07-06,110.33000183105469,64.27202606201172
2011-07-07,110.36000061035156,64.28950500488281
2011-07-08,111.06999969482422,64.70308685302734
2011-07-11,111.44000244140625,64.91862487792969
2011-07-12,111.52999877929688,64.97105407714844
2011-07-13,111.80999755859375,65.13414001464844
2011-07-14,111.12000274658203,64.73226165771484
2011-07-15,111.37000274658203,64.87788391113281
2011-07-18,110.94000244140625,64.6273422241211
2011-07-19,111.4800033569336,64.94192504882812
2011-07-20,111.22000122070312,64.79046630859375
2011-07-21,111.05000305175781,64.6915054321289
2011-07-22,111.5,64.95353698730469
2011-07-25,110.97000122070312,64.64485168457031
2011-07-26,111.45999908447266,64.9303207397461
2011-07-27,111.12999725341797,64.73802947998047
2011-07-28,111.37000274658203,64.87788391113281
2011-07-29,112.37000274658203,65.46039581298828
2011-08-01,112.27999877929688,65.65394592285156
2011-08-02,113.22000122070312,66.20359802246094
2011-08-03,113.18000030517578,66.18019104003906
2011-08-04,114.0,66.65970611572266
2011-08-05,112.58999633789062,65.83525085449219
2011-08-08,111.5199966430664,65.20954132080078
2011-08-09,112.5199966430664,65.79427337646484
2011-08-10,113.52999877929688,66.38485717773438
2011-08-11,111.19999694824219,65.02242279052734
2011-08-12,112.47000122070312,65.76504516601562
2011-08-15,112.68000030517578,65.8878402709961
2011-08-16,113.08999633789062,66.1275634765625
2011-08-17,113.4000015258789,66.30885314941406
2011-08-18,113.55000305175781,66.39655303955078
2011-08-19,113.41000366210938,66.31468963623047
2011-08-22,112.98999786376953,66.06912231445312
2011-08-23,111.69999694824219,65.31478881835938
2011-08-24,110.37999725341797,64.54296112060547
2011-08-25,110.98999786376953,64.89967346191406
2011-08-26,111.04000091552734,64.92887878417969
